TCAD or WCAD Property ID(s),Facility Address,Facility Category,Building Name,Calculated kWh/sqft,Portfolio Manager Energy Star Score,As of
101422,"3045 S CAPITAL
OF TX HY Austin, TX 78746
",RETAIL CENTER,101422_001,10.00,81,10/01/2015 12:00:00 AM
101496,"6001 MOUNTAIN SHADOW DR
AUSTIN, TX 78735
",WAREHOUSE,101496_001,0.16,,10/01/2015 12:00:00 AM
102904,"1801 S MO-PAC EXPRESSWAY
Austin, TX 78746
",OFFICE LG &gt; 35000 (W/sqft &gt; 5),102904_Campus,18.39,,10/01/2015 12:00:00 AM
104321,"2916 S MO-PAC EXPRESSWAY
AUSTIN, TX 78746
",RETAIL CENTER,104321_001,12.29,83.5,10/01/2015 12:00:00 AM
104322,"2901 S CAPITAL
Austin, TX 78746
",OTHER,104322_001,9.66,74,10/01/2015 12:00:00 AM
105806,"3201 Bee
Austin, TX 78746
",RETAIL CENTER,105806_005,25.07,,10/01/2015 12:00:00 AM
105806,"3201 Bee
Austin, TX 78746
",RETAIL CENTER,105806_004,25.07,,10/01/2015 12:00:00 AM
105806,"3201 Bee
Austin, TX 78746
",RETAIL CENTER,105806_003,25.07,,10/01/2015 12:00:00 AM
105806,"3201 Bee
Austin, TX 78746
",RETAIL CENTER,105806_002,25.07,,10/01/2015 12:00:00 AM
107726,"3321 FM 2244 RD
AUSTIN, TX 78746
",OFFICE MED 10-35,107726_Campus,30.13,,10/01/2015 12:00:00 AM
123154,"6500 ST STEPHENS SCHOOL RD
AUSTIN, TX 78746
",EDUCATIONAL FACILITY,123154_Campus,15.20,,10/01/2015 12:00:00 AM
142136,"8601 FM 2222 RD
AUSTIN, TX 78730
",OFFICE LG &gt; 35000,142136_002,18.89,,10/01/2015 12:00:00 AM
142136,"8601 FM 2222 RD
AUSTIN, TX 78730
",OFFICE LG &gt; 35000,142136_003,18.89,,10/01/2015 12:00:00 AM
142136,"8601 FM 2222 RD
AUSTIN, TX 78730
",OFFICE LG &gt; 35000,142136_001,18.89,,10/01/2015 12:00:00 AM
153167,"10603 FM 2222 RD
AUSTIN, TX 78730
",RETAIL CENTER,153167_001,8.51,,10/01/2015 12:00:00 AM
153167,"10603 FM 2222 RD
AUSTIN, TX 78730
",RETAIL CENTER,153167_002,8.51,,10/01/2015 12:00:00 AM
153170,"10307 FM 2222 RD
AUSTIN, TX 78730
",MINI WAREHOUSE,153170_002,7.89,,10/01/2015 12:00:00 AM
155068,"10900 FM 2222 RD
AUSTIN, TX 78730
",CITY OF AUSTIN,155068_001,10.26,87,10/01/2015 12:00:00 AM
155608,"11401 FM 2222 RD
AUSTIN, TX 78730
",STORE\GROCERY,155608_001,0.21,,10/01/2015 12:00:00 AM
163527,"11803 COLUMBIA OAKS DR
Austin, TX 78759
",OFFICE MED 10-35,163527_Campus,15.60,,10/01/2015 12:00:00 AM
174221,"13096 N US 183 HWY
AUSTIN, TX 78750
",RETAIL CENTER,174221_001,8.16,,10/01/2015 12:00:00 AM
174221,"13096 N US 183 HWY
AUSTIN, TX 78750
",RETAIL CENTER,174221_002,8.16,70,10/01/2015 12:00:00 AM
176237,"13376 N US 183 HWY
AUSTIN, TX 78750
",RETAIL CENTER,176237_002,22.38,,10/01/2015 12:00:00 AM
