TCAD or WCAD Property ID(s),Floor Area (sqft),Building Type,Reported Portfolio Manager Energy Star Score,Reported Portfolio Manager Site kBTU/sqft,As of,Address
196874,92749,Office,86.5,42.8,03/13/2014 12:00:00 AM,"316 W 12TH ST
AUSTIN, TX 78701
(30.27482734500046, -97.7437629749997)"
289708,42863,Office,70.8,46.2,03/13/2014 12:00:00 AM,"2801 S IH 35
AUSTIN, TX 78761
(30.33349081600045, -97.69899669599965)"
105335,120000,Office,,,03/13/2014 12:00:00 AM,"800 W 6TH ST
AUSTIN, TX 78703
(30.270407128000443, -97.75094168099969)"
250865,310613,K-12 School,31.8,61.6,03/13/2014 12:00:00 AM,"8403 MESA DR
AUSTIN, TX 78759
(30.37631175600046, -97.75412574499967)"
262091,79157,Office,,,03/13/2014 12:00:00 AM,"11149 RESEARCH BLVD
AUSTIN, TX 78759
(30.407219461000466, -97.74473892799966)"
727226,526915,Hospital (General Medical and Surgical),72.7,269,03/13/2014 12:00:00 AM,"4900 MUELLER BLVD
AUSTIN, TX 78723
(30.302557926000475, -97.70494631999969)"
203760,30980,Residence Hall/Dormitory,54.5,57.9,03/13/2014 12:00:00 AM,"707 W 21ST ST
AUSTIN, TX 78705
(30.28407284600047, -97.74591267799968)"
715485,33679,Retail,1,236.3,03/13/2014 12:00:00 AM,"5701 W SLAUGHTER LN
AUSTIN, TX 78749
(30.200982962000467, -97.8674733689997)"
252833,51557,Retail,,,03/13/2014 12:00:00 AM,"9111 RESEARCH BLVD
AUSTIN, TX 78758
(30.37475597900044, -97.72889744999969)"
503131,29769,K-12 School,98,24.5,03/13/2014 12:00:00 AM,"11908 N LAMAR BLVD
AUSTIN, TX 78753
(30.39060219500044, -97.68244964499968)"
197753,13664,"Service (Vehicle Repair/Service, Postal Service)",,38.7,03/13/2014 12:00:00 AM,"1190 HARGRAVE ST
AUSTIN, TX 78702
(30.27436661000047, -97.70845690999965)"
